         483736 function calls (463287 primitive calls) in 1.759 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      711    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      666    0.002    0.000    0.006    0.000 typing.py:262(_collect_parameters)
      663    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      632    0.006    0.000    0.028    0.000 typing.py:1223(__init__)
      632    0.002    0.000    0.010    0.000 typing.py:1130(__init__)
      586    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      586    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      586    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:74(__new__)
      586    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
      586    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
      586    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap>:124(setdefault)
      586    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      586    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:162(__enter__)
      586    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      586    0.007    0.000    0.026    0.000 <frozen importlib._bootstrap>:304(acquire)
      586    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
      586    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      579    0.001    0.000    0.002    0.000 enum.py:837(__setattr__)
      566    0.001    0.000    0.002    0.000 enum.py:713(__call__)
      566    0.001    0.000    0.001    0.000 enum.py:1116(__new__)
      549    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      536    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
  529/408    0.001    0.000    0.002    0.000 typing.py:1551(__hash__)
      514    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      514    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
      514    0.000    0.000    0.001    0.000 enum.py:59(_is_sunder)
    476/1    0.033    0.000    1.760    1.760 {built-in method builtins.exec}
      472    0.005    0.000    0.007    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      454    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      454    0.002    0.000    0.003    0.000 enum.py:1541(__and__)
      450    0.000    0.000    0.000    0.000 _make.py:2588(<genexpr>)
      443    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
      435    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      435    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      435    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
    431/2    0.012    0.000    1.760    0.880 <frozen importlib._bootstrap>:1349(_find_and_load)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      430    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap>:416(__enter__)
      430    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:420(__exit__)
    430/2    0.006    0.000    1.760    0.880 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      429    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:232(__init__)
      429    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:445(cb)
      428    0.000    0.000    0.000    0.000 enum.py:1172(__init__)
      428    0.001    0.000    0.001    0.000 _parser.py:265(getwhile)
      427    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      427    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      427    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      427    0.008    0.000    0.119    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      427    0.001    0.000    0.003    0.000 __init__.py:82(find_spec)
  427/284    0.001    0.000    0.034    0.000 typing.py:494(__getitem__)
      425    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      425    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      424    0.003    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
      424    0.001    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1517(find_spec)
      419    0.001    0.000    0.002    0.000 typing.py:1159(__getattr__)
      416    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      403    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      403    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
  403/402    0.002    0.000    0.182    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    403/2    0.004    0.000    1.759    0.880 <frozen importlib._bootstrap>:911(_load_unlocked)
      400    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      400    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      400    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
      396    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      394    0.003    0.000    0.008    0.000 typing.py:1435(<genexpr>)
      379    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
      370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
  370/364    0.002    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      369    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      369    0.105    0.000    0.105    0.000 {built-in method marshal.loads}
      369    0.046    0.000    0.046    0.000 {built-in method _io.open_code}
      369    0.008    0.000    0.008    0.000 {method '__exit__' of '_io._IOBase' objects}
      369    0.509    0.001    0.509    0.001 {method 'read' of '_io.BufferedReader' objects}
      369    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      369    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      369    0.013    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
    369/2    0.004    0.000    1.759    0.880 <frozen importlib._bootstrap_external>:989(exec_module)
      369    0.015    0.000    0.736    0.002 <frozen importlib._bootstrap_external>:1062(get_code)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      369    0.005    0.000    0.568    0.002 <frozen importlib._bootstrap_external>:1183(get_data)
      369    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      328    0.000    0.000    0.008    0.000 {built-in method builtins.next}
      325    0.002    0.000    0.008    0.000 css_parser.py:1085(selector_iter)
      321    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      312    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      311    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
      308    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
      297    0.005    0.000    0.233    0.001 __init__.py:280(_compile)
      294    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      294    0.001    0.000    0.002    0.000 typing.py:317(_deduplicate)
      293    0.000    0.000    0.233    0.001 __init__.py:226(compile)
      292    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      286    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      281    0.000    0.000    0.000    0.000 enum.py:236(__set_name__)
      281    0.000    0.000    0.000    0.000 types.py:192(__init__)
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1570(<genexpr>)
      279    0.001    0.000    0.004    0.000 typing.py:331(_remove_dups_flatten)
      279    0.003    0.000    0.029    0.000 typing.py:673(Union)
      273    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      263    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      254    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
  252/203    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      248    0.000    0.000    0.000    0.000 typing.py:1577(<genexpr>)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      245    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
      245    0.000    0.000    0.000    0.000 enum.py:772(__delattr__)
      245    0.000    0.000    0.009    0.000 _parser.py:98(closegroup)
      245    0.001    0.000    0.011    0.000 typing.py:1439(copy_with)
      228    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      228    0.002    0.000    0.004    0.000 enum.py:383(__setitem__)
      227    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      227    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      227    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      227    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
      227    0.001    0.000    0.082    0.000 _compiler.py:573(_code)
      227    0.002    0.000    0.015    0.000 _compiler.py:511(_compile_info)
      227    0.002    0.000    0.224    0.001 _compiler.py:740(compile)
      227    0.001    0.000    0.138    0.001 _parser.py:969(parse)
      223    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      207    0.000    0.000    0.002    0.000 typing.py:1538(<genexpr>)
      206    0.000    0.000    0.000    0.000 enum.py:460(<genexpr>)
      202    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
      194    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      191    0.001    0.000    0.002    0.000 style.py:122(__init__)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      188    0.000    0.000    0.000    0.000 typing.py:927(__hash__)
      184    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      178    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      177    0.001    0.000    0.017    0.000 typing.py:1430(__getitem__)
   174/68    0.001    0.000    0.577    0.008 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      172    0.021    0.000    0.021    0.000 {built-in method builtins.compile}
      161    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      158    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      156    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      155    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      153    0.000    0.000    0.000    0.000 typing.py:1581(__eq__)
      152    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
      152    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
      152    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
      151    0.000    0.000    0.000    0.000 typing.py:473(__repr__)
      150    0.000    0.000    0.000    0.000 enum.py:246(__init__)
      150    0.002    0.000    0.006    0.000 enum.py:249(__set_name__)
      144    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      144    0.003    0.000    0.005    0.000 _compiler.py:467(_get_charset_prefix)
      143    0.001    0.000    0.017    0.000 typing.py:726(Optional)
      142    0.000    0.000    0.001    0.000 style.py:146(_make_color)
      141    0.000    0.000    0.000    0.000 enum.py:929(<lambda>)
      141    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
      141    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:373(_freeze_relations)
      136    0.000    0.000    0.004    0.000 css_types.py:203(__init__)
      136    0.002    0.000    0.002    0.000 css_parser.py:357(__init__)
  136/131    0.001    0.000    0.006    0.000 css_parser.py:383(freeze)
      135    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      135    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      134    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
      127    0.002    0.000    0.002    0.000 {built-in method _abc._abc_init}
      127    0.001    0.000    0.012    0.000 <frozen abc>:105(__new__)
      127    0.000    0.000    0.001    0.000 dataclasses.py:864(_set_new_attribute)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.001    0.000    0.001    0.000 dataclasses.py:701(_is_type)
      125    0.000    0.000    0.000    0.000 enum.py:197(__get__)
      122    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      119    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      118    0.000    0.000    0.000    0.000 __init__.py:89(<lambda>)
      116    0.010    0.000    0.010    0.000 {built-in method posix.getcwd}
      116    0.000    0.000    0.000    0.000 enum.py:1279(value)
      115    0.000    0.000    0.000    0.000 _make.py:1078(_add_method_dunders)
      114    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
      114    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
      114    0.001    0.000    0.002    0.000 dataclasses.py:760(_get_field)
      109    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      109    0.000    0.000    0.001    0.000 _parser.py:274(getuntil)
      109    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
      108    0.000    0.000    0.000    0.000 _make.py:1139(decide_callable_or_boolean)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      105    0.002    0.000    0.030    0.000 dataclasses.py:449(_create_fn)
      103    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      103    0.003    0.000    0.010    0.000 typing.py:868(__init__)
      103    0.000    0.000    0.000    0.000 enum.py:807(<genexpr>)
      102    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
       99    0.005    0.000    0.006    0.000 {built-in method builtins.eval}
       99    0.000    0.000    0.005    0.000 typing.py:1500(__getitem__)
       98    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       96    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
       96    0.000    0.000    0.000    0.000 typing.py:1523(<genexpr>)
       95    0.000    0.000    0.001    0.000 enum.py:1531(__or__)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       92    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
       89    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       84    0.000    0.000    0.002    0.000 css_parser.py:792(parse_combinator)
       80    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
       79    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       79    0.001    0.000    0.001    0.000 _make.py:1131(_determine_attrib_eq_order)
       79    0.000    0.000    0.000    0.000 token.py:24(__init__)
       79    0.000    0.000    0.000    0.000 token.py:15(split)
       78    0.000    0.000    0.000    0.000 token.py:34(__getattr__)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       77    0.001    0.000    0.008    0.000 css_parser.py:459(parse_attribute_selector)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       75    0.000    0.000    0.000    0.000 _make.py:1172(_determine_whether_to_implement)
       74    0.000    0.000    0.003    0.000 typing.py:1044(<genexpr>)
       72    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       71    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       70    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       70    0.000    0.000    0.000    0.000 _make.py:1035(<genexpr>)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       69    0.000    0.000    0.017    0.000 _make.py:298(_compile_and_eval)
       69    0.000    0.000    0.001    0.000 css_parser.py:529(parse_tag_pattern)
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       68    0.000    0.000    0.006    0.000 typing.py:1529(__getitem__)
       68    0.000    0.000    0.001    0.000 typing.py:2454(overload)
       65    0.000    0.000    0.000    0.000 typing.py:1576(_value_and_type_iter)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       62    0.000    0.000    0.000    0.000 _status_codes.py:26(__new__)
       61    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       59    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       59    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
    56/49    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
    54/22    0.001    0.000    0.727    0.033 {built-in method builtins.__import__}
       54    0.000    0.000    0.000    0.000 typing.py:760(<genexpr>)
       54    0.000    0.000    0.000    0.000 _make.py:1632(<genexpr>)
       54    0.000    0.000    0.001    0.000 _make.py:2476(__init__)
       53    0.000    0.000    0.014    0.000 _make.py:306(_make_method)
       53    0.000    0.000    0.000    0.000 _make.py:1621(_generate_unique_filename)
       52    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
    52/14    0.001    0.000    0.029    0.002 css_parser.py:905(parse_selectors)
       51    0.000    0.000    0.003    0.000 typing.py:1496(copy_with)
       51    0.000    0.000    0.004    0.000 typing.py:1514(__getitem_inner__)
       51    0.000    0.000    0.000    0.000 _make.py:2401(_default_init_alias_for)
       50    0.000    0.000    0.000    0.000 typing.py:1587(__hash__)
       50    0.000    0.000    0.000    0.000 _make.py:2599(_setattrs)
       47    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       46    0.001    0.000    0.002    0.000 typing.py:1079(_generic_init_subclass)
       44    0.000    0.000    0.000    0.000 dataclasses.py:643(<genexpr>)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1886(__init__)
       42    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
       42    0.000    0.000    0.000    0.000 inspect.py:2794(kind)
    42/30    0.000    0.000    0.022    0.001 css_parser.py:566(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 typing.py:1396(__mro_entries__)
       40    0.000    0.000    0.000    0.000 _make.py:671(<genexpr>)
       40    0.000    0.000    0.000    0.000 _make.py:997(<genexpr>)
       40    0.000    0.000    0.000    0.000 _make.py:529(<genexpr>)
       40    0.000    0.000    0.000    0.000 _make.py:564(<genexpr>)
       39    0.000    0.000    0.000    0.000 _make.py:1846(<genexpr>)
       39    0.000    0.000    0.000    0.000 _make.py:925(<genexpr>)
       38    0.000    0.000    0.001    0.000 enum.py:954(_get_mixins_)
       38    0.003    0.000    4.002    0.105 __init__.py:1(<module>)
    38/29    0.000    0.000    0.022    0.001 css_parser.py:726(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 enum.py:995(_find_data_type_)
       38    0.001    0.000    0.010    0.000 enum.py:515(__new__)
       37    0.001    0.000    0.007    0.000 typing.py:1030(_generic_class_getitem)
       36    0.001    0.000    0.001    0.000 inspect.py:175(get_annotations)
       35    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       35    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       35    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1564(__init__)
       35    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1641(_fill_cache)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1682(path_hook_for_FileFinder)
       35    0.001    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
    33/21    0.000    0.000    0.000    0.000 types.py:999(convert_type)
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       31    0.154    0.005    0.157    0.005 {built-in method _imp.create_dynamic}
    31/30    0.064    0.002    0.089    0.003 {built-in method _imp.exec_dynamic}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
       31    0.000    0.000    0.157    0.005 <frozen importlib._bootstrap_external>:1287(create_module)
    31/30    0.000    0.000    0.089    0.003 <frozen importlib._bootstrap_external>:1295(exec_module)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1721(_parse_hextet)
       30    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
