         387429 function calls (368993 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      386    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1737    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      396    0.001    0.000    0.002    0.000 enum.py:1541(__and__)
     2251    0.001    0.000    0.005    0.000 css_parser.py:305(match)
     2886    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      193    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       10    0.001    0.000    0.007    0.001 enum.py:906(_convert_)
     3826    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      198    0.001    0.000    0.132    0.001 _parser.py:969(parse)
      285    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      182    0.001    0.000    0.005    0.000 typing.py:175(_type_check)
       77    0.001    0.000    0.009    0.000 css_parser.py:459(parse_attribute_selector)
      905    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      579    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      285    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
      220    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
     1051    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1038    0.001    0.000    0.003    0.000 _compiler.py:398(_simple)
     1016    0.001    0.000    0.003    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 langhebrewmodel.py:1(<module>)
      223    0.001    0.000    0.145    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
     1494    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      242    0.001    0.000    0.002    0.000 __init__.py:82(find_spec)
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      136    0.001    0.000    0.001    0.000 css_parser.py:357(__init__)
      619    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
        1    0.001    0.001    0.001    0.001 langrussianmodel.py:1(<module>)
        1    0.001    0.001    0.001    0.001 langgreekmodel.py:1(<module>)
  194/191    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      107    0.001    0.000    0.001    0.000 enum.py:1279(value)
      193    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      285    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      401    0.001    0.000    0.001    0.000 typing.py:1169(__setattr__)
      308    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      220    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      494    0.001    0.000    0.002    0.000 enum.py:713(__call__)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1490    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1490    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      963    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  136/131    0.001    0.000    0.006    0.000 css_parser.py:383(freeze)
      415    0.001    0.000    0.001    0.000 _parser.py:265(getwhile)
      198    0.001    0.000    0.083    0.000 _compiler.py:573(_code)
        1    0.001    0.001    0.017    0.017 packages.py:1(<module>)
       42    0.001    0.000    0.003    0.000 <frozen abc>:105(__new__)
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
  220/184    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      527    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      310    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      509    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
