         483838 function calls (463372 primitive calls) in 1.640 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3320/3311    0.003    0.000    0.015    0.000 {built-in method builtins.hasattr}
  403/402    0.002    0.000    0.176    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      227    0.002    0.000    0.016    0.000 _compiler.py:511(_compile_info)
     1476    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      150    0.002    0.000    0.004    0.000 enum.py:249(__set_name__)
    52/14    0.002    0.000    0.055    0.004 css_parser.py:905(parse_selectors)
     3729    0.002    0.000    0.003    0.000 _parser.py:293(tell)
    914/4    0.002    0.000    1.636    0.409 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      586    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:162(__enter__)
      666    0.002    0.000    0.006    0.000 typing.py:262(_collect_parameters)
     1879    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      750    0.002    0.000    0.003    0.000 _parser.py:449(_uniq)
       77    0.002    0.000    0.020    0.000 css_parser.py:459(parse_attribute_selector)
      586    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
       29    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      454    0.002    0.000    0.004    0.000 enum.py:1541(__and__)
  370/364    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     1040    0.002    0.000    0.004    0.000 _parser.py:312(_class_escape)
      228    0.002    0.000    0.004    0.000 enum.py:383(__setitem__)
     4412    0.002    0.000    0.002    0.000 _parser.py:113(__init__)
     3048    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      400    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
      780    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
      227    0.002    0.000    0.130    0.001 _parser.py:969(parse)
2458/1734    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
      429    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
      874    0.002    0.000    0.002    0.000 _parser.py:372(_escape)
     6338    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      105    0.002    0.000    0.030    0.000 dataclasses.py:449(_create_fn)
     1738    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     3965    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
      135    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     2251    0.002    0.000    0.007    0.000 css_parser.py:305(match)
      400    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      103    0.002    0.000    0.006    0.000 typing.py:868(__init__)
        1    0.002    0.002    0.002    0.002 {built-in method posix.sysconf}
      419    0.002    0.000    0.002    0.000 typing.py:1159(__getattr__)
     1155    0.002    0.000    0.003    0.000 _parser.py:172(__setitem__)
      435    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      632    0.001    0.000    0.011    0.000 typing.py:1130(__init__)
      429    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
     1273    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:645(parent)
      127    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      549    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      586    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
        2    0.001    0.001    0.008    0.004 _subprocesses.py:1(<module>)
     1703    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     2640    0.001    0.000    0.002    0.000 typing.py:1233(__eq__)
     2718    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
 1203/869    0.001    0.000    0.003    0.000 typing.py:1239(__hash__)
     2718    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      279    0.001    0.000    0.004    0.000 typing.py:331(_remove_dups_flatten)
      369    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      900    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
      430    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:416(__enter__)
      177    0.001    0.000    0.012    0.000 typing.py:1430(__getitem__)
      750    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      427    0.001    0.000    0.003    0.000 __init__.py:82(find_spec)
      579    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
       89    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
     1350    0.001    0.000    0.008    0.000 typing.py:166(_type_convert)
        1    0.001    0.001    0.001    0.001 {built-in method posix.uname}
      514    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       13    0.001    0.000    0.007    0.001 enum.py:906(_convert_)
     1703    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      245    0.001    0.000    0.011    0.000 typing.py:1439(copy_with)
  529/408    0.001    0.000    0.002    0.000 typing.py:1551(__hash__)
      311    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       87    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
      586    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
      127    0.001    0.000    0.009    0.000 <frozen abc>:105(__new__)
      906    0.001    0.000    0.008    0.000 typing.py:709(<genexpr>)
